,protein,RYGB,SHAM
116,Echdc3,"[478706.88212990883 1011791.8318363848 851508.4434751462 626860.5338080677
 757597.0160966263 655212.6170262463]","[865533.0171072318 960732.5940661211 1287280.6917379485 1203880.38215593
 904100.14872211 955786.3499803081]"
117,Acsf2,"[341431.6077715309 733833.5629407834 405960.2470828911 961999.0421984281
 1176488.539080026 509341.4544791682]","[110126.86857156326 296156.43515425886 241323.38095993618
 142733.1214239523 278116.9927281863 194354.364022113]"
118,Acnat2,"[258644.9748872753 256010.47129174587 4952.688349501947 142129.38411357993
 76332.34861645968 146556.96237349132]","[179485.39003357652 325594.48414276337 542712.9817895169 431414.8610944031
 251352.675745829 270362.20257281215]"
119,Hyi,"[1262382.9262780503 882497.4453169048 1543133.1769985675 813902.1504882593
 995404.5171798181 805710.6505255464]","[1670992.6835573632 1575002.6593504925 1249769.7418042836
 1284891.4084089196 1406882.9375915446 1684044.4043246936]"
120,LOC103692171,"[328252.2281194949 281157.9955715835 372309.0293755009 338938.21637181926
 258472.66206895316 430206.22429938597]","[161069.3853563871 213504.33281924855 310782.0821541023 228961.8012294991
 203265.13292840365 270406.0642763901]"
121,Eif4a2,[205.36 205.36 205.36 205.36 205.36 205.36],[44052.591807737634 205.36 205.36 44426.3265184158 205.36 205.36]
122,Man2c1,[205.36 205.36 205.36 205.36 205.36 205.36],[205.36 205.36 17991.010408744605 205.36 15828.423255267084 205.36]
123,Uchl3,[205.36 205.36 205.36 205.36 205.36 205.36],[205.36 205.36 101530.594127593 77892.20231668261 205.36 205.36]
124,Atp6v1e1,[205.36 205.36 205.36 205.36 100849.74738426752 121116.51889581034],"[151398.90225924787 97307.55408321571 229789.96185443443
 135207.25342718503 205.36 205.36]"
125,Man1a1,[205.36 205.36 205.36 8280.939497808333 205.36 8913.307532735495],[205.36 205.36 205.36 1080.6827988280556 205.36 205.36]
126,Ighm,[205.36 59958.88987410263 205.36 205.36 205.36 144058.75153385263],[205.36 205.36 205.36 205.36 205.36 205.36]
127,Mmaa,[205.36 37028.55857555969 35701.983920590785 205.36 205.36 205.36],[15162.19033206279 205.36 205.36 205.36 205.36 205.36]
128,Arl8b,[205.36 205.36 14094.014622611618 10618.828625213688 205.36 205.36],[205.36 205.36 120158.02269678088 205.36 205.36 25107.338085445517]
129,Nfs1,[205.36 2092.2922419021484 205.36 205.36 205.36 205.36],[205.36 205.36 205.36 205.36 205.36 205.36]
130,Abcc2,[205.36 205.36 205.36 205.36 205.36 205.36],[205.36 205.36 205.36 72310.33024979247 205.36 205.36]
131,Tmem11,[205.36 205.36 205.36 205.36 205.36 205.36],[205.36 24544.616398574213 205.36 205.36 205.36 205.36]
132,Eif3c,[205.36 205.36 205.36 205.36 205.36 205.36],[94076.90714799371 205.36 205.36 205.36 205.36 205.36]
133,Cfap43,[205.36 205.36 28897.147819103626 205.36 205.36 205.36],[205.36 205.36 205.36 205.36 205.36 205.36]
134,Snrpd1,[205.36 205.36 205.36 205.36 205.36 205.36],[205.36 43866.714491811515 205.36 205.36 205.36 205.36]
