,protein,RYGB,SHAM
135,Ces1e,[13100.709603627422 205.36 205.36 205.36 205.36 205.36],[205.36 205.36 205.36 205.36 205.36 205.36]
136,Slc39a7,[205.36 205.36 205.36 205.36 205.36 205.36],[205.36 12527.3066564382 205.36 205.36 205.36 205.36]
137,Cyp3a18,[205.36 205.36 205.36 205.36 205.36 205.36],[205.36 25607.566883003234 205.36 205.36 205.36 205.36]
138,LOC100912599,[205.36 205.36 205.36 205.36 205.36 32511.847406761],[205.36 205.36 205.36 205.36 205.36 205.36]
139,Gphn,[205.36 205.36 205.36 205.36 205.36 205.36],[205.36 205.36 205.36 205.36 26328.101742265568 205.36]
140,Snx5,[62527.62348647581 50196.00969640951 205.36 205.36 205.36 205.36],[205.36 205.36 205.36 205.36 43217.25006263889 205.36]
141,Aimp1,[205.36 205.36 205.36 24340.444893036216 40001.40495865823 205.36],[205.36 205.36 205.36 205.36 28610.958851527594 205.36]
142,Adsl,"[47918.26956795231 205.36 205.36 53921.66354810071 205.36
 28195.457259907504]",[205.36 205.36 52203.34741686765 35149.36375881715 205.36 205.36]
143,Itih1,[205.36 205.36 205.36 205.36 205.36 18309.070210816284],[36060.70262579713 205.36 205.36 205.36 205.36 205.36]
144,Prep,[32694.079343428937 44593.60449095984 205.36 205.36 205.36 205.36],[205.36 67930.32754207066 48608.1310146532 205.36 205.36 205.36]
145,Gspt1,[41953.12876128697 205.36 205.36 19019.296027699318 205.36 205.36],[16183.174409603682 205.36 205.36 29012.127731994464 205.36 205.36]
146,Eif2s1,[27799.304425752696 205.36 205.36 205.36 205.36 205.36],[205.36 39564.28793004864 205.36 205.36 205.36 205.36]
147,Pla2g12b,[205.36 205.36 205.36 205.36 205.36 68966.16457681062],[205.36 205.36 205.36 2580.643192120252 205.36 48513.239109106966]
148,Cyp4f1,[27312.071776090714 205.36 205.36 205.36 205.36 205.36],[205.36 205.36 205.36 20289.258457061267 205.36 205.36]
149,Serpina6,[89233.1922742871 205.36 205.36 205.36 205.36 205.36],[205.36 22046.56618791398 49907.800068115284 205.36 205.36 205.36]
150,Abca6,"[205.36 38716.704162398346 205.36 205.36 20066.26909624807
 31822.707210698147]","[205.36 205.36 21648.23966371083 23839.64861466561 28751.414807716337
 18737.27471173688]"
151,Ugt2b17,"[338495.9169756395 356364.60801261914 134428.82404757332 392297.8801858543
 375630.7930889554 193694.25627898058]","[258730.69936098772 205267.8854933871 281859.4539887998 220857.36634139725
 113327.94825560565 204601.7567750667]"
152,Ptges3,"[312449.6584276132 229828.33909259172 193007.56684693394 147025.4682550632
 180161.71928407298 205.36]","[205.36 224440.81729062414 344903.69839380786 217668.88101861282
 180770.28101817024 213852.5904374509]"
153,Mtpn,"[205.36 101325.15805627631 125269.020087128 88012.5862608273
 148048.93799426683 90806.78706550681]","[148052.16758068473 148281.4076653554 205.36 93001.67940050407
 139056.68936225172 153914.98224073465]"
154,Scly,"[85623.38897752874 135791.82343362135 64194.2534465059 75495.91342701031
 50135.81183127427 42804.72975705912]","[85866.43306941028 118089.70541816148 87454.19945933252 141560.30732192643
 126640.53667432784 90994.36004910072]"
155,Pepd,"[205.36 54246.98319022482 45426.16829433402 64579.06672560325
 60517.10350327807 67947.24747003985]","[52321.447429268635 115861.40582694174 205.36 63597.12920446142
 62916.91462278097 63686.45323123179]"
156,Apcs,"[186428.8834226302 257651.55393633645 283644.7753270498 250645.92503428314
 239951.51871527036 283650.7332497869]","[261684.22890127232 318009.3815986488 173346.8817731245 275728.30280412873
 362287.6092636009 294777.4841334839]"
157,Apoc3,"[805010.5374206536 423162.36066765914 331740.32781579124 542862.0371493237
 203416.0943023879 145636.5378564806]","[724080.9772443916 528931.1117044834 861634.142845442 562702.3494525152
 438655.1885113944 420668.86069210205]"
158,Acmsd,"[4295.616828212327 205.36 40489.05902472783 205.36 85497.48792459721
 205.36]",[205.36 19661.562748880595 22789.79986569556 205.36 205.36 205.36]
159,Cyp2c11,"[3043397.6269662622 1428840.0338081473 2940555.995950893 804713.2210446083
 1206299.9570266714 2069276.8061081844]","[2969486.1327630095 2457976.980645126 2671950.0714375414 3555697.012314204
 2220972.1326952516 3358765.834448142]"
160,Ndufs1,"[2121086.249601501 2099792.431884922 1843750.9526157535 1700555.6705324117
 1930210.547889386 1479395.8622314832]","[1705444.650122387 1585249.7830020147 2339251.3373287017
 1686169.8163011728 1254265.7099838858 1142299.9800794434]"
161,Vkorc1l1,"[57178.0573592175 33449.69994757862 40371.34567382756 55234.520334150104
 47190.14119250513 53260.82323191557]","[49425.71294707815 30633.365041885805 53596.17589650414 205.36
 38085.61248315004 36646.83985407815]"
162,Sec14l4,"[1525905.1252255111 1489545.5170547182 687649.169510211 1223569.82152108
 1186282.7461589982 1217104.23047962]","[886950.4916874951 780696.3941837786 1094149.1540171644 1126980.720721815
 849696.5461057691 824127.0860343097]"
163,Srpr,"[103798.47771771468 205.36 205.36 59991.16518676988 23996.870292095453
 205.36]",[136742.57046001026 205.36 205.36 205.36 70335.84803938969 205.36]
164,Agmo,[205.36 205.36 205.36 205.36 205.36 12596.021659563712],"[205.36 2009.3844370190436 3238.2411525519747 7416.016799527098
 9192.38594796565 205.36]"
165,Gne,"[191797.72847980534 330718.13059716806 186946.05174022887
 182992.44415584844 241607.61413320556 432169.32294999284]","[296673.0251728212 328946.08035841555 216505.2991094631 104910.01331629197
 315488.7091410623 176917.30034824557]"
166,Serbp1,[205.36 205.36 94877.30311965343 94638.61087434374 205.36 87750.9593049671],"[109340.49404779189 205.36 205.36 64720.25588283724 96005.02750029005
 81477.86086115574]"
167,LOC100910575,[205.36 205.36 205.36 205.36 35967.578471267596 33860.89193781855],"[205.36 200494.56408378953 205.36 69857.60561114781 205.36
 25772.290580168632]"
168,Nit1,"[52567.62021073656 134341.75544972825 89955.30678569469 29129.30969361103
 34750.41956973944 39070.49157045947]","[32994.468616177706 156284.1960627087 261750.48503957034 161531.6581669685
 39834.99916351192 118992.27394270302]"
169,Rplp1,"[2356059.9167352817 2019811.0736732592 1640203.5631288018
 1841002.0427201733 1887823.892640018 1798157.6981054575]","[972735.8955346004 1769500.2208715861 2172668.7922265804
 1478968.6467415136 1855220.2303776091 1511570.5805537982]"
170,Mgll,"[227156.34257031552 222716.03801125573 106242.00200371617
 189713.4175794078 205.36 153126.0808819807]","[194650.8364564476 159707.34744354637 282339.44595609827 229263.8095871668
 83378.16289554194 173665.81708983687]"
171,Gulo,"[1194974.191711768 797538.7872174565 959262.2750884285 888088.7433440486
 864552.9620735288 858378.5126817119]","[1084156.0064232184 791494.8677830022 1241713.2389545466
 1524348.3255667645 1025590.0271700784 1076269.7844208293]"
172,Eif3d,"[60216.80902617378 39867.60295683383 40067.059750654116 205.36 205.36
 205.36]",[205.36 205.36 32141.175306208333 205.36 205.36 205.36]
173,Fam213a,"[855767.7930309855 594633.44713707 416317.90794331813 647439.9879663147
 596009.4966784217 473528.7017260201]","[440483.7838397489 430118.0824526019 689964.5642848066 492495.7082362338
 491317.6449864812 438017.9834827617]"
174,Hp,"[807685.4151121275 978949.8503163786 849781.8662746423 1181469.1116718298
 957413.4242030112 2434978.6962423716]","[634775.8760522042 798556.4814488293 1004299.8286203161 786074.6486267638
 788291.8662318159 683050.8644293585]"
175,Hao2,"[867843.3765879138 501827.1913462235 195483.73167387382 422122.9554556866
 263493.7945123021 690647.4440945222]","[535479.0285443049 396329.5875461656 1048637.0338562788 823183.5971901662
 622779.8218337297 793786.765906973]"
176,0,"[54286.27498136059 56390.19249337326 64578.939870676215 205.36
 68095.07373491788 83291.65337761505]","[41191.38360942554 25666.435878164073 205.36 38648.6771291553
 36612.99356398642 48555.840787024084]"
177,C4a,"[170982.08947557365 123928.76989281394 127885.16421179415
 130112.1186963635 95988.92650910921 133030.89240933207]","[90381.65202179039 13141.381043520629 177320.48433343938 205.36
 126782.04722546505 29148.301495700653]"
178,LOC103694869,"[468108.9594088879 517414.3406712515 354258.7981857824 426743.103828094
 374680.22025727 487198.02362139506]","[518511.38018119143 511505.8645686616 572159.6378486635 668030.4904260552
 342546.54698328493 513236.3382947086]"
179,Agmat,"[1118330.128619905 878559.181787397 893688.2680431595 630593.6204035949
 631771.9084572233 867616.1237096501]","[572972.9620839233 455444.83765314415 911559.1443489973 712013.5330573195
 558028.1189153232 624441.8649549277]"
180,Tubb4b,"[1767686.3426050027 2522992.7903816174 2087411.4437000381
 1466519.440244833 1248571.8191708177 2192157.6352361776]","[1394581.37810408 1382486.086318274 1543559.4541282856 2276034.43715185
 990739.7464835147 1581460.3188102595]"
181,Eif2s3y,"[148537.1004512379 264891.2592755214 128195.11018752604 131835.36161110157
 106320.49685845998 136808.86097495028]","[161566.2598940692 153470.23793635424 312086.65317239857
 230425.41113580836 141137.54180583378 53117.317182687955]"
182,Vamp3,"[40957.241633884885 21421.551145060497 205.36 69217.94346413613 205.36
 14922.68240245505]","[132278.43737982312 205.36 205.36 29327.763014577573 62226.352315555036
 27502.479043347645]"
183,Cox7a2,"[13271.678991957117 205.36 20139.10942727784 205.36 22544.602540895106
 42729.3636072996]","[205.36 41718.251860901815 205.36 21383.640897722347 17878.057162177534
 41317.42997245362]"
184,Atp1b1,"[142345.7003445063 143689.64812373932 126173.38665565857
 122580.32593465842 110352.37547412472 77471.28478335142]","[85492.77269145659 42827.36765426654 154110.82164797277 107934.65058590734
 62540.090129108874 71235.44548134152]"
185,Cox4i1,"[651106.7160820104 919225.0429570152 1289815.1960677337 944734.5153294995
 1445177.2434391452 1188240.055456306]","[842900.7993043892 825221.2121875612 664853.2814372503 1093324.377040517
 935379.7943805377 945553.9045389576]"
186,Ugt1a1,"[2296040.4577925564 1961427.9095695992 1348233.370335745
 1819197.3279479938 1464737.1306523336 1710378.747047037]","[1264513.1665401328 1269914.8245622504 2265694.1766214054
 1893000.978279024 1133325.330804136 1262190.3257592786]"
187,Fdx1,"[164884.00010932345 145545.42755965222 209236.59901075898
 182957.65960445214 194723.85951361177 205.36]","[182184.8448243691 127332.6122900001 196338.28479992712 91751.12608354396
 134930.9631584946 91833.12197667579]"
188,H2afv,"[205.36 17744.962445191242 27497.852181647962 40964.27261990125
 23622.81386515902 87839.29903234457]","[205.36 205.36 27072.44929794401 6627.446541190123 205.36
 23148.33177035176]"
189,Psmd7,[205.36 205.36 75150.89703225944 26259.46472611286 9279.24931051307 205.36],"[205.36 57042.3301064648 14143.850285924913 205.36 16450.846432385006
 21378.33538142]"
190,Casp6,"[12912.758621948913 72795.66482019532 205.36 6206.204601078259
 6016.372902622128 23183.546915907365]","[4564.049596318341 18061.145642186846 23017.37370070946 65463.64492996919
 123110.61190126135 71001.54151339913]"
191,Hsd17b8,"[302251.2344274255 259218.10589590232 117470.95501977655 293322.3016991967
 193602.9356962914 267699.2443992883]","[342006.88497048995 321027.45460770436 205.36 279263.1918718336
 314519.9385930209 259907.52898566096]"
192,Rplp0,"[3005435.8975546104 2357997.8083799663 1285256.479881133 1780379.748694583
 1653221.791428824 1832790.6348880564]","[1703366.0637881677 1597726.5373328445 2142698.4702265416
 1803101.0809903184 1555371.135779393 1456955.1394601497]"
193,Rars,"[108176.51186478169 88625.13997790992 205.36 66702.39369305078
 23484.8942888975 48236.716084817475]","[15362.345366832438 45204.45744732846 95765.58658291817 74337.17607657777
 205.36 40488.001745946574]"
194,Snd1,"[623419.5067175591 1436518.298910414 1110325.4800393363 1347538.4517457907
 1174961.1164152909 1388690.1316029134]","[1135326.4319648743 1115582.4091536321 451069.96341162664
 1113968.479640879 910945.7949843189 1143049.3151220009]"
195,Mapk6,[205.36 5107.466994975715 205.36 11681.951209956844 205.36 205.36],[205.36 9672.584845729927 205.36 6422.467099855425 205.36 205.36]
196,Hint2,"[270864.14033263776 231882.0331349001 173912.3881611905 239200.12576212367
 239335.8359401434 248515.80442482268]","[128429.90575141239 201006.1897072151 283411.46226682723 167153.2052381943
 191228.7825756327 125062.01155182578]"
197,Ndufb4,"[114662.72942227036 132552.6177070612 91846.3877434479 196775.5169167859
 153975.81381076144 205.36]","[88674.2815444673 162354.24288988046 76552.57150573017 81821.36518366938
 123100.13114293157 106659.82158397642]"
198,Igh-1a,"[205.36 69558.69570965096 201747.82992552785 171650.9675672674
 252641.16230037276 517444.66031196684]","[83563.41925066992 84668.05101365721 26214.095727146105 33642.71139237502
 13130.708151766468 105698.02804403006]"
199,Abracl,"[109006.04875073014 94468.16028379976 29756.8636535578 58480.22715104457
 51717.751528242145 71488.49905410617]","[33559.67222433448 53065.93643700394 111558.63555347196 49759.92766581926
 64725.51192665741 29680.263520146782]"
200,Ndufb5,"[64507.69559175244 66201.33903652246 114727.09452592941 156165.26290463743
 150951.26123916698 158893.2126216194]","[112141.4089246952 111082.97450427592 61383.62987120209 55156.82782324159
 129004.62566128332 100603.69349685167]"
201,Rrbp1,"[1081906.030640387 846895.7355966215 943875.8664184941 1016523.0012358229
 804218.7405373576 1179968.0057379513]","[769426.9456138504 851647.7740130452 1028206.515416227 797475.6466000896
 859476.1240293187 778312.6561410775]"
202,Tfr2,"[8932.932710134792 6348.125550232382 12690.016879325696 205.36
 24835.92920794195 34547.6502493977]","[23810.583400682266 31932.46086443896 6843.277352781116 5442.724429541136
 38102.47352410747 40988.54869260579]"
203,Dnm2,"[205.36 1171.6170906566526 205.36 33667.52375417575 205.36
 13548.647349483728]","[22511.142532781705 205.36 4178.541614535717 19113.522739410575 205.36
 6198.274696200224]"
204,Pgm3,"[205.36 205.36 19421.27000106395 22942.03195535668 16289.903131192443
 28960.28138041873]","[15980.395890755844 15731.356820217941 205.36 991.5457443577448
 16221.888358942266 14009.913220152961]"
205,Psmb10,"[70200.62234066021 83559.19744574738 11698.953386034957 83078.4618280672
 80567.36371885365 171436.55300432074]","[70689.89465817524 107315.15099446195 49633.736370059145 42576.11520452906
 67028.58477113761 34527.799829309464]"
206,Gstm3,"[1531932.112575173 858075.940099245 511063.30892890814 587406.3113266353
 499210.0020116101 585612.9526120623]","[1151830.82020852 876958.6681822231 1513636.365387345 846672.4372675546
 843764.9112442241 685284.6859585997]"
207,Abcb11,"[247923.33395696853 169408.35584307546 39815.64359147118 94912.52103844694
 51935.20585702154 23896.992302338967]","[97876.36967312166 37656.5267567706 179519.62153313568 179791.94973273377
 27378.782097875104 18545.191594805783]"
208,Slco1a4,"[380491.78669439396 312670.1884810506 235028.02879501888 207045.648739141
 148831.5548825209 221886.423286524]","[172695.0420802859 318361.80661595927 394069.46135164343
 392189.68920147914 245372.08161238438 282615.71212598117]"
209,Ndufs5,"[205.36 779227.1695871406 97502.20065168286 86649.40647393433 205.36
 205.36]",[205.36 205.36 37420.65132521657 205.36 205.36 32294.542644700738]
210,Psap,"[92453.72142292651 1565370.7384636614 980358.56683415 1504266.1995600213
 1376499.1772059614 1825476.806395463]","[824044.0483377685 1096239.92195509 296535.00030557974 627674.5803252
 1065603.6132715524 684484.3052524333]"
211,Myh11,"[104532.0348322084 105890.02609703466 205.36 23565.593061287163 205.36
 205.36]","[205.36 15602.138355790417 135566.9660710879 88007.3175634679 205.36
 205.36]"
212,Cct4,"[470147.5856302018 340220.58950090915 293359.20507706376 300882.2429953319
 150808.68827027097 354622.8752924892]","[369978.6657983495 339907.08138278907 557499.2563957197 411847.45068643126
 326835.42601691786 314579.2523436172]"
213,Ephx1,"[2004345.3385992218 1730378.314459514 1190160.0884989107
 1428862.2176640346 1451622.6668453002 1235864.7816517444]","[1662974.975958681 1784803.6220717805 2082137.9085858844 3157597.528488505
 1575292.5844887642 1899511.930696232]"
214,Ces2a,"[260685.78758597648 118393.88913086563 33631.09008501706
 306167.82441882207 98872.96434996997 321181.4094038251]","[233163.26191054002 439169.78901003156 405628.9994226513 332931.3728595725
 324334.46822363924 183055.0502747813]"
215,Sult1e1,"[348500.2214943615 177981.71305542454 178807.66224327663
 223173.77915263973 188829.70467758033 287198.82155372115]","[304049.3125455286 216366.49760703422 422738.1330012114 164502.16221300486
 325422.85766425455 290394.88338819146]"
