Source	Interaction	Arrow	Arrow_Type	Dashes	Color	Target
hsa:248	reaction	True	arrow	False	blue	C04874
C16048	activation	True	arrow	False	black	hsa:2740
C00037	reaction	True	arrow	False	blue	hsa:51268
hsa:6715	reaction	True	arrow	False	blue	C03917
C16634	reaction	True	arrow	False	blue	hsa:54963
hsa:1645	reaction	True	arrow	False	blue	C18042
hsa:5608	binding/association	False	NA	False	black	hsa:9261
hsa:10993	reaction	True	arrow	False	blue	C00109
hsa:8408	activation	True	arrow	False	black	hsa:22863
hsa:1356	reaction	True	arrow	False	blue	C14819
hsa:4915	binding/association	False	NA	False	black	hsa:25
hsa:3157	reaction	True	arrow	False	blue	C00024
hsa:3811	activation	True	arrow	False	black	hsa:5777
C00166	reaction	True	arrow	False	blue	hsa:2805
hsa:5290	reaction	True	arrow	False	blue	C04637
hsa:54995	reaction	True	arrow	False	blue	C05762
